section,strat,strat2,sampleid,height,CaCO3,TN,del13Ctoc,TOCcfb,Na_Al,K_Al
Bonenburg,Triletes Beds,Event Beds,2400,24.65,9.46,0.04,-23.6,0.55,0.014469419476028086,0.14968771799803607
Bonenburg,Triletes Beds,Event Beds,2450,25.03,13.41,0.03,-23.3,0.31,0.01739775436998615,0.14349053379684096
Bonenburg,Triletes Beds,Event Beds,2500,25.4,15.39,0.02,-23.5,0.12,0.033012923177254884,0.14965700810051377
Bonenburg,Triletes Beds,Event Beds,2550,25.81,14.99,0.03,-23.2,0.15,0.011285029861612639,0.14101655907620583
Bonenburg,Triletes Beds,Event Beds,2650,26.73,14.8,0.02,-23.4,0.14,0.021027501684587578,0.15174898178514837
Bonenburg,Triletes Beds,Event Beds,2700,27.2,12.38,0.03,-23.4,0.18,0.02062932210371227,0.17472249491976422
Bonenburg,Triletes Beds,Event Beds,2750,27.47,11.23,0.02,-23.2,0.11,0.028341792553210367,0.1514979023582862
Bonenburg,Triletes Beds,Event Beds,2770,27.65,11.99,0.02,-23.5,0.17,0.020019333795600502,0.17507607406577244
Bonenburg,Triletes Beds,Event Beds,2800,27.88,12.24,0.22,-23.1,0.19,0.014286367590764936,0.14480647779717887
Bonenburg,Triletes Beds,Event Beds,2820,28.09,7.27,0.03,-23,0.24,0.024945855483564778,0.1500009935879862
Bonenburg,Triletes Beds,Event Beds,2890,28.69,3.78,0.02,-22.8,0.09,0.02376278645656645,0.13938735621139725
Bonenburg,Triletes Beds,Event Beds,2920,28.93,8.96,0.02,-24.2,0.18,0.01878544605012348,0.14065451399513726
Bonenburg,Triletes Beds,Event Beds,2950,29.16,3.97,0.02,-22.9,0.12,0.021808493290846512,0.15171687918692855
Bonenburg,Triletes Beds,Event Beds,2970,29.39,9.19,0.02,-22.6,0.09,0.023134311216305905,0.14843848323811137
Bonenburg,Psilonotenton Formation,Post-event Beds,3000,29.72,8.22,0.04,-27.5,0.72,0.011968971065346739,0.13539388925658039
Bonenburg,Psilonotenton Formation,Post-event Beds,3020,29.85,17,0.04,-27.7,0.71,0.013424022449761437,0.15484171192681417
Bonenburg,Psilonotenton Formation,Post-event Beds,3040,30.02,10.66,0.06,-28.8,1.46,0.011004307725751629,0.17886467980234116
