section,strat,strat2,sampleid,del13Ctoc,measurement,value
Bonenburg,Contorta Beds,Pre-event Beds,650,-27,K_Al,0.20136448036507934
Bonenburg,Contorta Beds,Pre-event Beds,700,-28.4,height,9.86
Bonenburg,Contorta Beds,Pre-event Beds,700,-28.4,CaCO3,11.49
Bonenburg,Contorta Beds,Pre-event Beds,700,-28.4,TN,0.08
Bonenburg,Contorta Beds,Pre-event Beds,700,-28.4,TOCcfb,1.99
Bonenburg,Contorta Beds,Pre-event Beds,700,-28.4,Na_Al,0.017115628623445834
Bonenburg,Contorta Beds,Pre-event Beds,700,-28.4,K_Al,0.22570896034595045
Bonenburg,Contorta Beds,Pre-event Beds,750,-25.1,height,10.36
Bonenburg,Contorta Beds,Pre-event Beds,750,-25.1,CaCO3,3.86
Bonenburg,Contorta Beds,Pre-event Beds,750,-25.1,TN,0.05
Bonenburg,Contorta Beds,Pre-event Beds,750,-25.1,TOCcfb,1.01
Bonenburg,Contorta Beds,Pre-event Beds,750,-25.1,Na_Al,0.02633173634376282
Bonenburg,Contorta Beds,Pre-event Beds,750,-25.1,K_Al,0.21438270596400796
Bonenburg,Contorta Beds,Pre-event Beds,800,-24.8,height,10.84
Bonenburg,Contorta Beds,Pre-event Beds,800,-24.8,CaCO3,4.22
Bonenburg,Contorta Beds,Pre-event Beds,800,-24.8,TN,0.07
Bonenburg,Contorta Beds,Pre-event Beds,800,-24.8,TOCcfb,1.01
Bonenburg,Contorta Beds,Pre-event Beds,800,-24.8,Na_Al,0.019215050845448545
Bonenburg,Contorta Beds,Pre-event Beds,800,-24.8,K_Al,0.21848539992290664
Bonenburg,Contorta Beds,Pre-event Beds,900,-26.7,height,11.82
Bonenburg,Contorta Beds,Pre-event Beds,900,-26.7,CaCO3,3.93
Bonenburg,Contorta Beds,Pre-event Beds,900,-26.7,TN,0.07
Bonenburg,Contorta Beds,Pre-event Beds,900,-26.7,TOCcfb,1.69
Bonenburg,Contorta Beds,Pre-event Beds,900,-26.7,Na_Al,0.026170191949015816
Bonenburg,Contorta Beds,Pre-event Beds,900,-26.7,K_Al,0.20271414950186253
Bonenburg,Contorta Beds,Pre-event Beds,920,-27.1,height,12.04
Bonenburg,Contorta Beds,Pre-event Beds,920,-27.1,CaCO3,3.68
Bonenburg,Contorta Beds,Pre-event Beds,920,-27.1,TN,0.07
Bonenburg,Contorta Beds,Pre-event Beds,920,-27.1,TOCcfb,1.93
Bonenburg,Contorta Beds,Pre-event Beds,920,-27.1,Na_Al,0.025391317188628436
Bonenburg,Contorta Beds,Pre-event Beds,920,-27.1,K_Al,0.2016289397317679
Bonenburg,Contorta Beds,Pre-event Beds,952,-27,height,12.36
Bonenburg,Contorta Beds,Pre-event Beds,952,-27,CaCO3,4.77
Bonenburg,Contorta Beds,Pre-event Beds,952,-27,TN,0.07
Bonenburg,Contorta Beds,Pre-event Beds,952,-27,TOCcfb,1.77
Bonenburg,Contorta Beds,Pre-event Beds,952,-27,Na_Al,0.025241072708222356
Bonenburg,Contorta Beds,Pre-event Beds,952,-27,K_Al,0.19859136721974546
Bonenburg,Contorta Beds,Pre-event Beds,980,-27.2,height,12.62
