section,strat,strat2,sampleid,height,measurement,value
Bonenburg,Contorta Beds,Pre-event Beds,650,9.38,Na_Al,0.040314796333209287
Bonenburg,Contorta Beds,Pre-event Beds,650,9.38,K_Al,0.20136448036507934
Bonenburg,Contorta Beds,Pre-event Beds,700,9.86,CaCO3,11.49
Bonenburg,Contorta Beds,Pre-event Beds,700,9.86,TN,0.08
Bonenburg,Contorta Beds,Pre-event Beds,700,9.86,del13Ctoc,-28.4
Bonenburg,Contorta Beds,Pre-event Beds,700,9.86,TOCcfb,1.99
Bonenburg,Contorta Beds,Pre-event Beds,700,9.86,Na_Al,0.017115628623445834
Bonenburg,Contorta Beds,Pre-event Beds,700,9.86,K_Al,0.22570896034595045
Bonenburg,Contorta Beds,Pre-event Beds,750,10.36,CaCO3,3.86
Bonenburg,Contorta Beds,Pre-event Beds,750,10.36,TN,0.05
Bonenburg,Contorta Beds,Pre-event Beds,750,10.36,del13Ctoc,-25.1
Bonenburg,Contorta Beds,Pre-event Beds,750,10.36,TOCcfb,1.01
Bonenburg,Contorta Beds,Pre-event Beds,750,10.36,Na_Al,0.02633173634376282
Bonenburg,Contorta Beds,Pre-event Beds,750,10.36,K_Al,0.21438270596400796
Bonenburg,Contorta Beds,Pre-event Beds,800,10.84,CaCO3,4.22
Bonenburg,Contorta Beds,Pre-event Beds,800,10.84,TN,0.07
Bonenburg,Contorta Beds,Pre-event Beds,800,10.84,del13Ctoc,-24.8
Bonenburg,Contorta Beds,Pre-event Beds,800,10.84,TOCcfb,1.01
Bonenburg,Contorta Beds,Pre-event Beds,800,10.84,Na_Al,0.019215050845448545
Bonenburg,Contorta Beds,Pre-event Beds,800,10.84,K_Al,0.21848539992290664
Bonenburg,Contorta Beds,Pre-event Beds,900,11.82,CaCO3,3.93
Bonenburg,Contorta Beds,Pre-event Beds,900,11.82,TN,0.07
Bonenburg,Contorta Beds,Pre-event Beds,900,11.82,del13Ctoc,-26.7
Bonenburg,Contorta Beds,Pre-event Beds,900,11.82,TOCcfb,1.69
Bonenburg,Contorta Beds,Pre-event Beds,900,11.82,Na_Al,0.026170191949015816
Bonenburg,Contorta Beds,Pre-event Beds,900,11.82,K_Al,0.20271414950186253
Bonenburg,Contorta Beds,Pre-event Beds,920,12.04,CaCO3,3.68
Bonenburg,Contorta Beds,Pre-event Beds,920,12.04,TN,0.07
